path,doc_id,title,series,product,source_tier,recency_class,version_scope,last_verified,sections,section_ids,words,tags
_meta/INDEX.md,META-00,Corpus Index & Chunking Guide,META,both,,current,,2026-08-13,4,META-00.1;META-00.2;META-00.3;META-00.4,1240,index;manifest;chunking;embedding;navigation
_meta/METHODOLOGY.md,META-01,"Corpus Methodology, Integrity Gates & Known Gaps",META,both,,current,,2026-08-13,7,META-01.1;META-01.2;META-01.3;META-01.4;META-01.5;META-01.7;META-01.6,1764,methodology;provenance;verification;limitations
_meta/SOURCE-REGISTER.md,META-02,Master Source Register with Recency & Tiers,META,both,,current,,2026-08-13,9,META-02.1;META-02.2;META-02.3;META-02.4;META-02.5;META-02.6;META-02.7;META-02.8;META-02.9,1387,sources;citations;provenance;recency;bibliography
academic/AC-01-foundational-agent-papers.md,AC-01,Foundational Agent Papers Behind LangChain/LangGraph Patterns,AC,both,1,foundational,foundational — not currency-sensitive,2026-08-13,5,AC-01.1;AC-01.2;AC-01.3;AC-01.4;AC-01.5,648,academic;react;reflexion;papers;agent-patterns;plan-and-execute;rewoo;citations
academic/AC-02-rag-research-lineage.md,AC-02,RAG Research Lineage — From Lewis 2020 to Self-Corrective RAG,AC,both,1,foundational,foundational — not currency-sensitive,2026-08-13,6,AC-02.1;AC-02.2;AC-02.3;AC-02.4;AC-02.5;AC-02.6,745,academic;rag;self-rag;crag;adaptive-rag;papers;retrieval;citations
academic/AC-03-systems-lineage-pregel.md,AC-03,"Systems Lineage — Pregel, BSP & Why LangGraph Behaves As It Does",AC,LangGraph,1,foundational,foundational — not currency-sensitive,2026-08-13,5,AC-03.1;AC-03.2;AC-03.3;AC-03.4;AC-03.5,657,academic;pregel;bsp;supersteps;apache-beam;distributed-systems;citations;reducers
academic/AC-04-empirical-studies-of-langchain.md,AC-04,Peer-Reviewed & Preprint Studies OF LangChain/LangGraph,AC,both,1,current,2025-2026 studies,2026-08-13,6,AC-04.1;AC-04.2;AC-04.3;AC-04.4;AC-04.5;AC-04.6,1167,academic;empirical-study;survey;adoption;framework-comparison;developer-practices;evidence
academic/AC-05-security-research-literature.md,AC-05,Security Research Literature on LLM Agent Frameworks,AC,both,1,current,2023-2026 security literature,2026-08-13,7,AC-05.1;AC-05.2;AC-05.3;AC-05.4;AC-05.5;AC-05.6;AC-05.7,1017,academic;security;prompt-injection;p2sql;mcp-security;threat-taxonomy;defense
langchain/LC-01-overview-and-architecture.md,LC-01,LangChain — Overview & Architecture,LC,LangChain,1,current,langchain 1.x (verified 1.3.15),2026-08-13,5,LC-01.1;LC-01.2;LC-01.3;LC-01.4;LC-01.5,730,overview;architecture;packages;positioning;deep-agents;langgraph-relationship
langchain/LC-02-models-and-messages.md,LC-02,LangChain — Chat Models & Messages,LC,LangChain,1,current,langchain 1.x / langchain-core 1.x,2026-08-13,7,LC-02.1;LC-02.2;LC-02.3;LC-02.4;LC-02.5;LC-02.6;LC-02.7,717,chat-models;init_chat_model;messages;content-blocks;multimodal;streaming;rate-limiting;caching;token-usage
langchain/LC-03-tools-and-tool-calling.md,LC-03,LangChain — Tools & Tool Calling,LC,LangChain,1,current,langchain 1.x,2026-08-13,6,LC-03.1;LC-03.2;LC-03.3;LC-03.4;LC-03.5;LC-03.6,717,tools;tool-decorator;ToolNode;ToolRuntime;args_schema;tool-errors;return_direct;Command
